source,rating,text,date,author,date_parsed
Google,3,Okay for games and concerts. Extremely steep seating in the upper sections that are hazardous. Women’s bathrooms or at least the one right by sections 114 and 115 had 5 stalls and 20 urinals altogether. Bizarre and inefficient.,12/23/2025 07:11:14,N H,2025-12-23 07:11:14
Google,4,"Easy entry, right next to a subway station, and a great view of the Nets' court compared to Madison Square Garden for a fraction of the price.",12/22/2025 04:10:04,Marianne Paige,2025-12-22 04:10:04
Google,5,Brooklyn Nets vs. Toronto Raptors,12/22/2025 02:53:51,Martina Bräutigam,2025-12-22 02:53:51
Google,5,"great, close to the station",12/21/2025 21:55:57,heidy,2025-12-21 21:55:57
Google,5,"Incroyable match de NBA, en revanche toutes les boissons/eau sont jetées à l’entrée ainsi que briquets etc. Bières cheres (17$ la canette sans tips)",12/21/2025 18:12:52,Julie Beauvais,2025-12-21 18:12:52
Google,4,"We had a great time as a family.
Lots of food options.
Good music.
Overall Entertaining.
Parking $50 of you don’t find anything on the street.",12/21/2025 04:50:28,MemoriesBy Mia,2025-12-21 04:50:28
Google,3,"The place is nice, however, sometimes I feel like the staff doesn’t know the rules. I came here once for a concert and they didn’t know the rules about what cameras and what devices I could bring. But this place is a local place so it does feel like a local little venue.",12/21/2025 04:17:36,Cassandra,2025-12-21 04:17:36
Google,5,Fuimos a un partido de los brooklyn neta y el ambiente fue espectacular,12/20/2025 23:25:34,jorge,2025-12-20 23:25:34
Google,4,"Barclays Center feels like one of those places where Brooklyn shows its real scale and energy. It sits right in the middle of movement — subways below, traffic around, people coming from every direction. There’s always a sense that something is happening here, even when there’s no event inside.
The building itself is heavy and solid, with a modern, almost industrial look that fits Brooklyn well. It doesn’t try to be elegant or flashy — it feels strong, urban, and purposeful. When there’s a game or a concert, the whole area comes alive: crowds gather, voices mix, lights reflect off the streets, and the pace of the neighborhood shifts.
Inside, everything is organized for large events — sports, concerts, shows. The sound, the scale, and the flow of people all remind you that this is one of the main gathering points of the city. But even outside, just standing near the entrance, you can feel the energy moving through the area.
Barclays Center isn’t just an arena.
It’s a pulse point for Brooklyn — where transit, crowds, noise, and city life all meet in one place.",12/20/2025 04:41:56,Roman Petrovskii,2025-12-20 04:41:56
Google,4,Fun place to be for more than the game,12/19/2025 23:54:04,KX Whyknot,2025-12-19 23:54:04
Google,5,"Wir hatten eine gute Anreise.
Direkt an der U-Bahn gelegen.
Schnelle koordinierte Abfertigung.
Viele Essen und Getränkestände.
Tolle Arena",12/19/2025 18:02:32,Marco Holtz,2025-12-19 18:02:32
Google,5,Increible recinto y ambiente. 5 estrellas sin duda,12/19/2025 02:47:57,Manuel Ivars,2025-12-19 02:47:57
Google,4,"Right in front of the train station.
Big, impressive arena.

Didn’t love the security attitude though felt a bit aggressive. One of them even commented, “I hate when artists do dumb shit like this.”
Attending a concert for your favorite artist and hearing that from arena staff wasn’t exactly on my bingo card.

So not my favorite arena, but overall still a good experience.",12/18/2025 22:32:12,Yuvi,2025-12-18 22:32:12
Google,1,"The staff is extremely rude and unaccommodating to disabled people. Example one, the employee outside of the venue just consistently scream “go all the way down! To the right to the right to the right!” Then you get inside and they are worse than TSA. You’ve got 4 different employees shouting 4 different directions at you at the same time. And you do not have enough plastic bowls and bins to pass get the amount of people through security in the amount of time you are trying to do it in. No where on you website does it say do not wear steel toed shoes, I had to go back and forth through the metal detectors and then take my boots off on the floor in the middle of the crowd trying to inside, made it through finally and then the employees were just snapping and yelling about getting my items from the bowl, and I had to try and put my boots back on again I’m in the middle of the walk way getting my fingers and belongings stepped on. It doesn’t end there, the people who scan the tickets are rude then you try to look at the artist merchandise for sale and you’ve got more employees screaming at you to move. The ONE THING those employees could do that would actually be useful is help people find their seats except the don’t, they just tell you if you are wrong but don’t help you find the right way. It’s up to all the paying attendees to help each other. Then by the time the event is over, you are getting screamed at once again by the employees “GET OUT GET OUT GO THIS WAY GET OUT!!!” Maybe don’t have exit signs up if you don’t want people to follow them? I don’t get it. Over all, the staff ruined my experience and I traveled all the way from Virginia Beach for this concert. Very rude, very ugly. I am a disabled adult with ASD and I have slow processing, having these employees hound me like I’m in bootcamp was not how I wanted to remember my night that I paid A LOT of money for. Ticket purchase through Ticketmaster is always terrible, you should use your own services, or a smaller company like brown paper tickets. Communication should be clear about no steel toe boots or you’ll have to take them off in advanced. This knowledge would be helpful to people. Unless you take the subway, the Barclay center is located at an extremely congested intersection, so commute and parking are awful. The event entertainment itself is great but the experience is ruined by the staff so what could have been a 10 out of 10 is now a 5 out of 10 rating because of the horrible staff.",12/18/2025 22:17:04,Alec Janus,2025-12-18 22:17:04
Google,3,Solid arena though a bit dark and dull too bad the nets are really trash right now,12/18/2025 19:07:55,Jo Lior,2025-12-18 19:07:55
Google,3,Venue is nice but makes you feel like you are squeezed in.,12/18/2025 07:26:22,Lite Skin,2025-12-18 07:26:22
Google,5,Such a modern arena! Amazing vibes,12/18/2025 00:21:37,Rafael,2025-12-18 00:21:37
Google,5,The two guys working the box office tonight were so lovely and I am so grateful for them,12/17/2025 22:09:10,N Hailparn,2025-12-17 22:09:10
Google,2,"Went for a concert. 8$ hotdog. They charge 7$ for a Pepsi, not even a Coke. Clean venue but sucks for concerts. Too much of a incline where seats are",12/17/2025 21:29:51,Jeff Rosa,2025-12-17 21:29:51
Google,5,Instalaciones increibles.,12/17/2025 18:54:32,Sandra Andreu,2025-12-17 18:54:32
Google,5,"Belle expérience et bon compromis si vous voulait allez voir un match de nba à défaut d’aller voir les knicks prix plus abordable, équipe moins forte , mais le barclays center est top bien équipé assez moderne et pas mal de food et store , assez facile en métro top je recommande",12/17/2025 11:17:42,Alan,2025-12-17 11:17:42
Google,1,"the most nonsensical security checks, they've made me take off my knee high boots, they've taken away my lighters, they have sold lighters as merch but only AFTER the show, and they won't use the ny state id app for the bar so what is the point of the app even existing? (and i'm not talking about a picture im talking about a scannable qr code app with all my details that has to have service to be accessed so it can be verified by the state.)  and the sound quality sucks. i love brooklyn, i hate this place as a concert venue.)",12/17/2025 00:16:58,Veronica R,2025-12-17 00:16:58
Google,5,"Ver un partido de la NBA es algo que todo el mundo tendría q vivir una vez en la vida! Incluso si no sabes de baloncesto o no es algo que te llame la atención, te lo recomiendo es todo un espectáculo! Cada descanso había un espectáculo!",12/16/2025 14:44:53,Tamara Serrano,2025-12-16 14:44:53
Google,5,The Best McDonald Fries 🍟 Ever,12/16/2025 14:44:25,Tarik Washington,2025-12-16 14:44:25
Google,5,"Un'arena incredibile, una dimensione alla quale in Italia, e per la maggior parte in tutta Europa non siamo abituati. Posti di grande comodità, rapidità di ingresso ed uscita elevata, e godi di una vista eccellente da qualsiasi posizione. Io sono stato ad alcune partite dei Nets e lo spettacolo al di là del basket è garantito da musica ed altre iniziative che tengono incollati al seggiolino per tutto il tempo. Impianto sonoro top level. Direi da sogno.",12/16/2025 08:13:44,Romano Petitti,2025-12-16 08:13:44
Google,5,"Awesome concert experience!
Every seat is a winner. The sound system just blows you away!!!",12/15/2025 17:13:10,Mike P,2025-12-15 17:13:10
Google,5,Had a blast at the boy is mine  concert,12/15/2025 15:52:43,Dana Phillips,2025-12-15 15:52:43
Google,4,"Came here to watch a Brooklyn Nets game. Barclays Center is a very nice arena—modern, clean, and well laid out—with a good amount of food and drink options throughout the venue.

The staff was friendly overall, but they were clearly required to follow some very strict rules when it came to drinks. I ordered a whiskey neat and was told they had to add a few ice cubes. At one point, my wife was holding both my drink and hers while I went to the bathroom, and a staff member stopped her and said he would make her pour it out unless he saw me come back. He actually waited until I returned. I’ve never experienced that at any game before, so it was pretty surprising—maybe they’ve had issues in the past.

The vibe in the arena felt a bit low, and it didn’t seem like there were many fans there, which could be because the team isn’t playing particularly well right now. Still, the arena itself is solid and well run, just be prepared for very strict drink policies.",12/15/2025 03:30:06,Kevin Drost,2025-12-15 03:30:06
Google,5,Great place for venues. Nets games are always fun. Plenty of food options. The staff were friendly and helpful.,12/14/2025 22:52:53,meir bamberger,2025-12-14 22:52:53
Google,5,Qualité prix super bien ! Belle activité pour voyage de couple à New York,12/14/2025 15:21:56,Dravit.M340,2025-12-14 15:21:56
Google,5,"I forgot to ask for her name but the one who was giving out tickets for the Christian Nodal concert.Hispanic,short curly hair about 5ft very nice she was so helpful in finding me(the lost friend of the 3) 🤣🤣🤣 God bless her excellent customer service!",12/14/2025 13:41:23,Lexie BEE,2025-12-14 13:41:23
Google,1,"Three days later, and my face is still swollen. The tools were so dirty, and rusty",12/14/2025 11:48:32,Ebony Merritt,2025-12-14 11:48:32
Google,5,Great place for sports or concerts.,12/14/2025 07:57:04,Timothy Wolfe,2025-12-14 07:57:04
Google,4,I was trying to get to a suite  I asked  someone that works there They kept sending me in different directions,12/14/2025 00:06:42,Mike Nunez,2025-12-14 00:06:42
Google,5,"雖然籃網沒有獲勝，有看到球員的努力，連續投進三分球拉進比分，讓對手喊了幾次暫停，可能嚇到了，哈哈。
球場氛圍很好，剛好坐的位置有拿到氣球棒，當然要幫忙干擾對手囉！希望下次可以拿到投射的球衣 💪",12/13/2025 06:39:42,HsiangYu Chang,2025-12-13 06:39:42
Google,5,Went on a field trip - seeing behind the scenes and getting access to normally non-public places was awesome!,12/13/2025 00:16:45,Lisa Nitzsche,2025-12-13 00:16:45
Google,5,Great location. 2nd time there,12/12/2025 14:16:56,Maria Rose,2025-12-12 14:16:56
Google,5,"Tima experiência,  valeu a pena",12/11/2025 15:48:24,Andrea Guerra Gomes de Sousa,2025-12-11 15:48:24
Google,5,"I went there to see peso pluma perform. This is one of the greatest concerts I’ve been too. Barclays center is definitely top 3 best arenas in nyc.
The place is big and outstanding. From entering the place you will see the magic.
Concert was lit and excellent. I’d definitely come back to this stadium to see more performances.",12/11/2025 09:44:57,Kevin,2025-12-11 09:44:57
Google,5,Came to Barclays on 10/28 to see Tame Impala. This is an awesome venue with great staff and easy to get to with the subway. The show was absolutely incredible!!,12/09/2025 15:59:55,Jen Gold,2025-12-09 15:59:55
Google,5,"Ya que fui a Nueva York quise tener la experiencia de ver un partido de la NBA, merece la pena, porque es un espectáculo y aunque no te guste el baloncesto va a mover todos tus emociones y por lo que va a merecer la pena, el personal de todo el estadio muy amable. Hay internet gratuito que te permite pasar las entradas en caso de que no tengas Internet, porque las entradas al comprarlas online son unas entradas con un cifrado especial que necesita Internet. Yo estuve en la sección 110 y se ve perfectamente.",12/09/2025 12:19:06,Jose Manuel Carrasco,2025-12-09 12:19:06
Google,5,"Awesome, especially the subway drops you off right in front.And then you get back on the subway and go straight back to grand central",12/09/2025 08:13:22,Ali Del (Ali),2025-12-09 08:13:22
Google,5,"Nets is Soso, but fun place",12/09/2025 01:15:37,Terry Sun,2025-12-09 01:15:37
Google,5,"Went to Barclays Center on Nov19 2025 for the STEVIE NICKS CONCERT✨. Parked in a nearby underground parking garage and it was very easy to get to. The center itself was simple to navigate and the concessions prices were not through the roof as one would expect. Great views of the stage, even from farther away. Exiting the arena after the show was swift and went better than expected. And Stevie of course, was OUTSTANDING!❤️",12/09/2025 01:08:22,Shield Maiden,2025-12-09 01:08:22
Google,4,Really liked Barclays Center. Getting in and out was really really easy. Lots of security and plenty of parking around the stadium. The only issue I saw was that the seat are way too small and moving in and out is obnoxious.,12/08/2025 17:06:42,Abdulrezzak Idilov,2025-12-08 17:06:42
Google,5,Siamo stati al Barclays center per una partita NBA Brooklyn Nets- Utah Jazz .. è un palazzetto attrezzatissimo e moderno facilmente raggiungibile con la metro D che ferma proprio davanti. Dentro si trova cibo da asporto da portare sugli spalti ed è un'esperienza che vale davvero la pena di fare. Musica e balli di crew hip hop negli intervalli rendono l atmosfera molto coinvolgente.,12/08/2025 15:12:14,Monia Maggini,2025-12-08 15:12:14
Google,2,"It’s a good venue for watching NY Liberty games, but the sound for concerts is terrible. Food choices leave much to be desired, and the parking situation is trash.",12/07/2025 23:10:12,Lisa Kretschman,2025-12-07 23:10:12
Google,4,"Très beau complexe sportif. Proche des stations de métro, on y vient sans soucis.

Les places sont très bien réparties sur plusieurs niveaux et même en hauteur la visibilité est parfaite.",12/07/2025 20:22:54,Crash Test,2025-12-07 20:22:54
Google,4,una spettacolo nella spettacolo . esperienza consigliata,12/07/2025 17:04:29,Stefania Salerno,2025-12-07 17:04:29
Google,5,Great spot to see an event. Close to the subway system so easy to get to from Manhattan. We arrived and with Clear were able to get in through a separate entrance in a timely manner. Staff was helpful getting us to our seats.,12/07/2025 13:40:07,Adriana B,2025-12-07 13:40:07
Google,5,"Un estadio de primer nivel, te revisan en la entrada, no llevar alimentos, así como en cualquier evento deportivo. Cuenta con muchas opciones para comprar artículos deportivos una vez dentro del estadio. Evita traer bolsas o mochilas grandes",12/06/2025 23:55:06,Elizabeth Villalobos,2025-12-06 23:55:06
Google,5,Home of my Brooklyn nets. Great stadium with great food,12/06/2025 23:49:37,Eli,2025-12-06 23:49:37
Google,4,"I love this place, you'll love it too once you know where to sit  during concerts.",12/06/2025 11:14:19,Lady Brown,2025-12-06 11:14:19
Google,5,"Una parada obligatoria si visitas Brooklyn. El Barclays Center no solo tiene una arquitectura exterior impresionante, sino que la logística para entrar y salir es excelente gracias a la conexión con Atlantic Terminal. El estadio es moderno, limpio y la acústica es muy buena. Incluso en las secciones altas se disfruta de una gran visibilidad. ¡Totalmente recomendado para vivir la energía de Nueva York!""",12/05/2025 22:54:48,Bayron Calderon,2025-12-05 22:54:48
Google,1,Very disappointed on our holiday to New York. We were really looking forward to watching the Nets and had a great first half until it was ruined and we were threatened to be kicked out. We enter the Barclay’s Center and went to the bar to grab a drink before the game with no issues as we provided our UK driving license ID. When half time comes around we go to another bar to be served a second drink however were refused due to not having our UK passports with us or US Driving license ? We explained we got served earlier and he said this should not have happened? We then go to another bar to see if this is correct and the guy at the other bar was going to serve us with our UK driving license. We then had security called to us and were threatened to be kicked out if we do this again even though we had valid UK driving license and are 26 years old. Why would we take our passport out? This was not specified before we visited. Completely ruined the night being threatened to be kicked out. Won’t be coming again. Staff are awful.,12/05/2025 21:41:09,Molly Burns,2025-12-05 21:41:09
Google,5,"Un lugar muy acogedor, hay parqueo a los alrededores..",12/05/2025 12:52:16,Minor Garcia,2025-12-05 12:52:16
Google,5,Très bonne ambiance je me suis régalé je recommande,12/04/2025 23:55:10,Francisco Neotoit,2025-12-04 23:55:10
Google,5,"Wir waren zum Spiel der Nets hier mit super Karten in der 6. Reihe mittig.
Die Arena ist wirklich beeindruckend und es war ein geiler Spiel!
Erschrocken habe ich mich über die Preise vor Ort für Speis und Trunk- aber damit muss man wohl rechnen.",12/03/2025 14:17:55,Marco Bonin,2025-12-03 14:17:55
Google,3,"Went with friends for a Nets game. Good energy from the staff. Very welcoming! Game good and entertainment.
The section we sat in great price on tickets but the seats not comfortable. Not enough leg room.",12/03/2025 12:36:35,Nicole F,2025-12-03 12:36:35
Google,5,"Comfortable seats, lots of food options and even seats up high provide a good view of the court.",12/03/2025 07:42:58,Ron Fulop,2025-12-03 07:42:58
Google,4,Drinks are too expensive. Be prepared to pay more for drinks than your ticket,12/03/2025 05:55:24,David Rowsey,2025-12-03 05:55:24
Google,5,I liked my experience here.,12/02/2025 17:22:18,Layla Foster,2025-12-02 17:22:18
Google,5,"Went for an NBA game with two new friends — complimentary VIP suite tickets for the Brooklyn Nets vs. Boston Celtics. The first half felt like warming up, but the later half turned fiery, the whole arena pulsing with energy.

Instead of grabbing a drink afterwards, we made a spontaneous decision: walk the Brooklyn Bridge at night. My first time. And somehow magical. The skyline shimmering, the wind cold but comforting, and the city unfolding quietly beneath us.

Funny how life arranges its timing — I tried crossing on July 4th but it was closed for fireworks. Yet tonight, without planning, it opened itself to me in its own way. Some moments are meant to find you when you’re not looking.",12/02/2025 05:57:19,Kenneth Wong,2025-12-02 05:57:19
Google,5,"⭐⭐⭐⭐⭐ Absolutely unforgettable night at Barclays Center!
Seeing Hong Kong legends G.E.M. (鄧紫棋) and David Tao (陶喆) share the stage was a dream come true for any Mandarin pop and R&B fan. G.E.M. brought her insane vocal power and infectious energy – those high notes in “光年之外” and “泡沫” literally gave the entire arena chills. Then David Tao, the godfather of Chinese R&B, came out with that smooth, soulful voice on classics like “愛很簡單”, “黑色柳丁”, and of course “Melody” – the crowd was singing every single word.
The production was top-tier: crystal-clear sound, stunning visuals, and the lighting perfectly matched the emotional vibe of every song. Barclays Center’s acoustics made G.E.M.’s belts and David Tao’s silky runs sound even better than on the albums.
Easily one of the best concerts I’ve ever attended in NYC. If these two ever tour again, I’m buying tickets the second they drop. Thank you Barclays Center for hosting this historic night – 1000/10 would relive it again! 🔥🎤
And a new Molly tea location",12/02/2025 03:35:41,。,2025-12-02 03:35:41
Google,4,Excellent service overall.,12/01/2025 21:56:06,Margaretlz Dnvika,2025-12-01 21:56:06
Google,4,"Easily accessibe by subway. Paid and street parking available within 10 min walk.
BEWARE: if your tickets indicate SRO next to seat number, that means you DON’T have a seat. That is Standing Room Only.",12/01/2025 14:06:35,Zoran Lazarevic,2025-12-01 14:06:35
Google,1,They will sell you a bottle of water at $7 and refuse to give you the cap “for safety reasons”.,11/30/2025 23:43:25,Paul Zhang,2025-11-30 23:43:25
Google,5,"Barclays Center je sodobna večnamenska dvorana v soseski Prospect Heights v Brooklynu in eno osrednjih prizorišč za šport, glasbo in velike prireditve v New Yorku. Odprta je bila leta 2012 in je znana po svoji prepoznavni temni fasadi iz jeklenih panelov ter vpadljivi zasnovi.

Je domača dvorana NBA ekipe Brooklyn Nets.

Sprejme približno 17.000 obiskovalcev pri košarki in še več pri koncertih.

V notranjosti ponuja udobna sedišča, odlično akustiko ter bogato ponudbo hrane in pijače.

Gostuje največje glasbene zvezde, boksarske dvoboje, wrestling dogodke in kulturne festivale.

Zaradi svoje lokacije nad pomembnim prometnim vozliščem je zelo dostopen z metrojem.

Barclays Center je sodobno, živahno in arhitekturno zanimivo prizorišče, ki velja za enega najpomembnejših kulturno-športnih centrov v New Yorku.

Ogledal sem si košarkarsko tekmo med  ekipama Brooklyn ( Dragič ) : Dallas ( Dončič )
Nepozabno doživetje, ostalo mi bo  v večnem spominu! 😅👍👏🙏",11/30/2025 20:20:54,Robert,2025-11-30 20:20:54
Google,3,"The game was fun and atmosphere was electric! However, you’ll be paying a pretty penny for mid food. I paid 13$ for jerk chicken tacos and the tortillas weren’t even cooked 😡",11/30/2025 15:46:32,Karelis Dejesus,2025-11-30 15:46:32
Google,1,HORRENDOUS HORRIBLE EXPERIENCE… I WAS ROBBED HERE OF MY BURBERRY SCARF of the back of my chair while watching a basketball game I was mortified so upset while on holiday robbed of my belongs here.. and the staff couldn’t care less one of them told me to stop crying as I was very shaken that sombody had took my belongs right behind me then up and changed seats in the area… staff DID NOTHING so don’t expect them to help In any kind of way if you get robbed or in any kind of scary incident… ruined my holiday ruined my experience missed the whole game worrying trying to work out what had happened… no care in the world or help to try fix it from the stars!!! Go elsewhere to watch sports games devastated!!!!!!? £500 Burberry scarf gone and felt violated just by sitting in a seat watching a game!! STAY AWAY!!!! UNSAFE NO HELP,11/30/2025 01:52:04,Larn Hardy,2025-11-30 01:52:04
Google,4,"The Nets are a buns team, but in terms of the arena Barclays doesn’t disappoint. The higher level seats are at a steep incline, so best to sit lower if heights aren’t your thing. Food and drink is colossally overpriced, so best to eat before the game/concert. Acoustics good and security generally friendly throughout. Merch stores etc could be improved though.",11/29/2025 00:26:22,Oliver Ellis,2025-11-29 00:26:22
Google,5,"Great location by several subway and bus stops. Easy to get in through security, lots of food & beverage vendors. But the prices are very high. I recommend that you eat outside before entering the Barclays.",11/28/2025 12:29:19,Delareen Kennedy,2025-11-28 12:29:19
Google,5,"Ótima estrutura, ótimo clima pra curtir um jogo dos Nets.",11/27/2025 23:50:23,Juliano Tíndaro,2025-11-27 23:50:23
Google,5,Very cool stadium! Loved my visit to see the nets! Shame no win!,11/27/2025 16:04:24,Jonathan Taylor,2025-11-27 16:04:24
Google,4,"Saw Stevie Nicks,  great show. Super clean venue.  200 section is very steep. Only problem I see .",11/26/2025 21:01:16,Rich Palazzotto,2025-11-26 21:01:16
Google,5,World class sporting arena. Not a bad seat. Heaps of food and drink options and easy to get to. Access in and out was easy and public toilets are clean.,11/26/2025 04:19:04,Steve Tee,2025-11-26 04:19:04
Google,5,Larger than expected facility with plenty of shows and events.,11/26/2025 00:39:03,mark antonio rodriguez,2025-11-26 00:39:03
Google,5,Increible haber podido disfrutar de la NBA en un pavellón así. Es una experiencia recomendable 100% conocer como viven el deporte en USA 🤩,11/25/2025 22:42:12,Mireieta __,2025-11-25 22:42:12
Google,4,Raw after SummerSlam 25,11/25/2025 19:02:59,Hel Lo,2025-11-25 19:02:59
Google,5,"I’m ashamed to say I live about 10 minutes from Barclays center and I only attended an event for the first time last week. I saw Stevie Nicks (epic!) with some friends and I was delighted by the venue. I thought a big stadium type venue would be a logistical nightmare but it’s very well designed to get a crowd in and out of very efficiently. The bathrooms are plentiful, well located and quite clean. Stevie Nicks must attract a lot of women so the lines at the bathroom were a little long but really not more than a 5 minute wait.

I can’t speak for what it’s like during a sporting event because I don’t really participate in those but if it’s as efficient as it was for us, it’s probably pretty great.",11/25/2025 15:34:45,Jen Fraenkel,2025-11-25 15:34:45
Google,5,"Muy bien señalizado interiormente, sin problema para encontrar el asiento. Además el personal es muy amable.",11/25/2025 12:55:48,David GP,2025-11-25 12:55:48
Google,5,We went to Barclays Center for a concert. It was incredible.,11/25/2025 03:17:35,Ingrid Bassallo,2025-11-25 03:17:35
Google,5,Fantástico estadio de basketball! Conexiones a todos los subtes de NYC,11/25/2025 03:14:24,Alejandro Paz,2025-11-25 03:14:24
Yelp,4,"I highly recommend coming here with friends and family. I went to many Knicks and Nets games. The only thing I really did not like was the seats. They are built small, and are not comfortable at all. For all the money that is being spent the least they could do is get bigger and more comfy seats for their loyal fans. I also enjoyed the drinks and food. Everything is affordable and greatly proportioned.",12/07/2025 19:31:54,Sean C.,2025-12-07 19:31:54
Yelp,3,"Recently visited Barclays for John Legends concert and I must say they improved their sound quality ! However the food and drinks options are seriously lacking! I actually liked their folding chair seating, however the facilities were filthy! The merch shop needs a revamp!",11/20/2025 15:28:58,Julie P.,2025-11-20 15:28:58
Yelp,2,"Why 2 stars? Because it was the definition of soul-less.     ---   ---   ---  Barclays Center was the third arena I visited in three nights and it was easily the worst. I was here (as a Cavs fan) for the Nets home opener and my main takeaway is that you would hardly even know you were in the Nets' arena when you're walking around the concourses. I covered every inch of the lower and upper levels and it felt like I was just in a generic arena that the Nets were borrowing for the night.  Where is the team spirit? Where are the murals? Where are the player faces? You have to really hunt them down to find them. And don't get me wrong: I know the Nets are a bad team as of this writing. They don't have many marketable players. But I've never visited a sports venue that felt more like a neutral site than this one.   Secondly, and probably even more important: getting into this arena was the hardest and most inefficient process I've ever experienced. I've now been to 17 arenas for either an NBA or NHL game and this easily ranks #17.  When we arrived at the building, gates had already been open for about 30 minutes, but it looks like about 20K people were all standing outside the main gate, waiting to be let in.   We eventually were led by an employee to follow them around the corner to a gate with fewer people in line. There were maybe 20ish people walking behind this woman, and when we got there, we found just as crazy of a line as all of the ones at the main entrance. Eventually, she took us around another corner, where we waited in a slightly less long line than the others. It took forever and a day to get inside and we had to rush to our seats just to see tip-off. I know it's Game One, but this was a trainwreck.  In addition, a couple other pet peeves:  1) This arena is designed similarly to Dallas and San Antonio, where being in the upper deck feels like you are incredibly far away from the court. There are other arenas where you feel much more on top of the action in the upper deck: Houston, Chicago and Utah come to mind.   2) All of these venues tend to not have a lot of room between each aisle, but I think this is the worst I've ever seen. Numerous people almost fell down trying to get from their seat to the aisle, throughout the night. There is virtually zero room to do this and I'm not sure how they didn't test this in the design.   Barclays is my 12th NBA arena to visit, and now I can say I've done it, but I'll never need to return. It's new-ish and clean, but that's about all I can say in the positive column about it.",11/08/2025 13:28:11,Brett N.,2025-11-08 13:28:11
Yelp,4,Came to see the Brooklyn Nets vs the Detroit Pistons and a great time was had. This arena is huge and has lots of various vendors offering different food dishes to enjoy during your entertainment.,11/08/2025 01:19:33,Marquese C.,2025-11-08 01:19:33
Yelp,4,"Saw Sleep Token here on September 22 , 2025. They were awesome and were able to have an amazing laser show onstage here at Barclays.  My seat in Section 218 didn't have much legroom but was ok. It was sold out show but only took about 10 minutes to get out after show. Even a bottle of water was like $6.50 though . They do have alcohol and cocktails and food if you want it.  Staff are helpful.",10/31/2025 18:48:23,Susan R.,2025-10-31 18:48:23
